Problem,searcher,explored,states,tests,solution,value
0,annealing,437,71231,0,False,-13
1,annealing,437,63365,0,False,-8
2,annealing,437,67298,0,False,-12
3,annealing,437,72979,0,False,-12
4,annealing,437,70794,0,False,-8
5,annealing,437,69483,0,False,-9
6,annealing,437,69046,0,False,-12
7,annealing,437,70794,0,False,-12
8,annealing,437,69046,0,False,-7
9,annealing,437,67298,0,False,-11
10,annealing,437,69920,0,False,-11
11,annealing,437,70357,0,False,-13
12,annealing,437,68172,0,False,-12
13,annealing,437,65987,0,False,-8
14,annealing,437,75601,0,False,-13
15,annealing,437,62928,0,False,-11
16,annealing,437,68172,0,False,-11
17,annealing,437,70357,0,False,-12
18,annealing,437,70357,0,False,-7
19,annealing,437,67735,0,False,-8
20,annealing,437,69483,0,False,-10
21,annealing,437,66424,0,False,-9
22,annealing,437,70357,0,False,-12
23,annealing,437,70357,0,False,-8
24,annealing,437,64676,0,False,-8
25,annealing,437,74290,0,False,-13
26,annealing,437,69920,0,False,-9
27,annealing,437,69046,0,False,-9
28,annealing,437,68609,0,False,-14
29,annealing,437,67735,0,False,-14
30,annealing,437,64676,0,False,-12
