Problem,searcher,explored,states,tests,solution,value
0,hill_climbing,14,2282,0,False,-16
1,hill_climbing,18,2610,0,False,-11
2,hill_climbing,13,2002,0,False,-16
3,hill_climbing,19,3173,0,False,-9
4,hill_climbing,13,2106,0,False,-21
5,hill_climbing,17,2703,0,False,-12
6,hill_climbing,18,2844,0,False,-14
7,hill_climbing,19,3078,0,False,-13
8,hill_climbing,17,2686,0,False,-11
9,hill_climbing,19,2926,0,False,-10
10,hill_climbing,16,2560,0,False,-11
11,hill_climbing,19,3059,0,False,-14
12,hill_climbing,19,2964,0,False,-10
13,hill_climbing,17,2567,0,False,-17
14,hill_climbing,22,3806,0,False,-9
15,hill_climbing,18,2592,0,False,-12
16,hill_climbing,18,2808,0,False,-14
17,hill_climbing,16,2576,0,False,-13
18,hill_climbing,15,2415,0,False,-14
19,hill_climbing,20,3100,0,False,-15
20,hill_climbing,21,3339,0,False,-10
21,hill_climbing,19,2888,0,False,-13
22,hill_climbing,16,2576,0,False,-13
23,hill_climbing,14,2254,0,False,-19
24,hill_climbing,20,2960,0,False,-12
25,hill_climbing,17,2890,0,False,-16
26,hill_climbing,18,2880,0,False,-8
27,hill_climbing,19,3002,0,False,-14
28,hill_climbing,13,2041,0,False,-14
29,hill_climbing,17,2635,0,False,-17
30,hill_climbing,14,2072,0,False,-17
31,hill_climbing,14,2156,0,False,-15
32,hill_climbing,18,2916,0,False,-13
33,hill_climbing,15,2190,0,False,-18
34,hill_climbing,19,2869,0,False,-9
35,hill_climbing,21,3381,0,False,-15
36,hill_climbing,17,2703,0,False,-14
37,hill_climbing,18,2952,0,False,-12
38,hill_climbing,17,2686,0,False,-11
39,hill_climbing,17,2720,0,False,-13
40,hill_climbing,16,2592,0,False,-12
41,hill_climbing,18,2736,0,False,-14
42,hill_climbing,15,2460,0,False,-11
43,hill_climbing,22,3432,0,False,-12
44,hill_climbing,20,3300,0,False,-15
45,hill_climbing,19,3078,0,False,-12
46,hill_climbing,15,2385,0,False,-17
47,hill_climbing,17,2703,0,False,-9
48,hill_climbing,23,3726,0,False,-10
49,hill_climbing,19,2907,0,False,-14
50,hill_climbing,16,2496,0,False,-12
51,hill_climbing,17,2720,0,False,-16
52,hill_climbing,18,2880,0,False,-12
53,hill_climbing,17,2669,0,False,-13
54,hill_climbing,14,2156,0,False,-15
55,hill_climbing,18,2880,0,False,-11
56,hill_climbing,20,2980,0,False,-15
57,hill_climbing,20,3200,0,False,-6
58,hill_climbing,17,2686,0,False,-15
59,hill_climbing,18,2934,0,False,-13
60,hill_climbing,17,2754,0,False,-14
61,hill_climbing,18,2790,0,False,-12
62,hill_climbing,17,2788,0,False,-10
63,hill_climbing,15,2250,0,False,-17
64,hill_climbing,16,2576,0,False,-18
65,hill_climbing,14,2268,0,False,-13
66,hill_climbing,21,3318,0,False,-10
67,hill_climbing,16,2544,0,False,-10
68,hill_climbing,14,1974,0,False,-19
69,hill_climbing,18,2610,0,False,-10
70,hill_climbing,18,2898,0,False,-14
71,hill_climbing,20,3060,0,False,-16
72,hill_climbing,18,2772,0,False,-13
73,hill_climbing,19,2907,0,False,-12
74,hill_climbing,15,2385,0,False,-10
75,hill_climbing,19,3059,0,False,-15
76,hill_climbing,15,2355,0,False,-14
77,hill_climbing,17,2686,0,False,-13
78,hill_climbing,15,2325,0,False,-17
79,hill_climbing,17,2618,0,False,-17
80,hill_climbing,17,2822,0,False,-14
81,hill_climbing,17,2669,0,False,-17
82,hill_climbing,17,2533,0,False,-17
83,hill_climbing,17,2686,0,False,-18
84,hill_climbing,19,3040,0,False,-16
85,hill_climbing,15,2430,0,False,-14
86,hill_climbing,12,1836,0,False,-15
87,hill_climbing,18,2934,0,False,-11
88,hill_climbing,16,2528,0,False,-11
89,hill_climbing,14,2100,0,False,-14
90,hill_climbing,18,2700,0,False,-15
91,hill_climbing,19,3097,0,False,-13
92,hill_climbing,14,2170,0,False,-16
93,hill_climbing,18,3024,0,False,-14
94,hill_climbing,16,2672,0,False,-13
95,hill_climbing,15,2415,0,False,-16
96,hill_climbing,16,2608,0,False,-18
97,hill_climbing,20,3160,0,False,-11
98,hill_climbing,17,2754,0,False,-18
99,hill_climbing,18,2790,0,False,-10
